Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
1,0,0,0.0,0,0,0,0.0,0.0
2,0,0,0.0,0,0,0,0.0,0.0
3,0,0,0.0,0,0,0,0.0,0.0
4,0,0,0.0,0,0,0,0.0,0.0
5,0,0,0.0,0,0,0,0.0,0.0
6,0,0,0.0,0,0,0,0.0,0.0
7,0,0,0.0,0,0,0,0.0,0.0
8,0,0,0.0,0,0,0,0.0,0.0
9,0,0,0.0,0,0,0,0.0,0.0
10,0,1,0.5,0,0,1,0.0,1.0
11,0,1,0.5,0,0,0,0.0,2.0
12,0,1,0.5,0,0,0,0.0,3.0
13,0,1,0.5,0,0,0,0.0,4.0
14,0,0,0.0,0,0,0,0.0,0.0
15,1,0,0.5,0,0,1,1.0,0.0
16,1,0,0.5,0,0,0,2.0,0.0
17,1,0,0.5,0,0,0,3.0,0.0
18,2,0,1.0,0,0,0,5.0,0.0
19,3,0,1.5,0,0,0,8.0,0.0
20,3,0,1.5,0,0,1,11.0,0.0
21,4,0,2.0,0,0,0,15.0,0.0
22,4,0,2.0,0,0,0,19.0,0.0
23,5,0,2.5,0,0,1,24.0,0.0
24,5,0,2.5,0,0,0,29.0,0.0
25,6,0,3.0,0,0,1,35.0,0.0
26,7,0,3.5,0,0,0,42.0,0.0
27,6,0,3.0,0,0,1,36.0,0.0
28,5,1,2.0,0,0,0,31.0,1.0
29,4,2,1.0,0,0,0,25.0,2.0
30,3,2,0.5,0,0,0,19.0,4.0
31,2,2,0.0,0,0,0,13.0,6.0
32,1,2,0.5,0,0,0,7.0,8.0
33,0,2,1.0,0,0,0,0.0,10.0
34,0,2,1.0,0,0,0,0.0,12.0
35,0,3,1.5,0,0,1,0.0,15.0
36,0,3,1.5,0,0,0,0.0,18.0
37,0,3,1.5,0,0,1,0.0,21.0
38,0,4,2.0,0,0,0,0.0,25.0
39,0,4,2.0,0,0,1,0.0,29.0
40,1,4,1.5,0,0,0,1.0,21.0
41,1,3,1.0,0,0,1,2.0,13.0
42,2,2,0.0,0,0,0,4.0,8.0
