Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
1,0,0,0.0,1,1,0,0.0,0.0
2,0,0,0.0,0,0,0,0.0,0.0
3,0,0,0.0,1,1,0,0.0,0.0
4,0,0,0.0,0,0,0,0.0,0.0
5,0,0,0.0,1,1,0,0.0,0.0
6,0,0,0.0,0,0,0,0.0,0.0
7,0,0,0.0,1,1,0,0.0,0.0
8,0,2,1.0,0,0,0,0.0,0.5
9,0,2,1.0,1,0,0,0.0,1.0
10,0,2,1.0,0,1,1,0.0,1.2
11,0,3,1.5,1,0,0,0.0,1.8
12,0,4,2.0,0,0,1,0.0,2.6
13,0,5,2.5,1,0,0,0.0,3.6
14,0,5,2.5,0,0,1,0.0,4.6
15,0,5,2.5,1,0,0,0.0,5.6
16,0,5,2.5,0,0,1,0.0,6.6
17,0,5,2.5,1,0,0,0.0,7.6
18,0,5,2.5,0,0,0,0.0,8.6
19,0,5,2.5,1,0,1,0.0,9.6
20,0,5,2.5,0,0,0,0.0,10.6
21,0,5,2.5,1,0,1,0.0,11.6
22,0,5,2.5,0,0,1,0.0,12.6
23,0,5,2.5,1,0,0,0.0,13.6
24,0,5,2.5,0,0,1,0.0,14.6
25,0,5,2.5,1,0,0,0.0,15.6
26,0,5,2.5,0,0,0,0.0,16.6
27,0,5,2.5,1,0,0,0.0,17.6
28,0,5,2.5,0,0,1,0.0,18.6
29,0,5,2.5,1,0,1,0.0,19.6
30,0,5,2.5,0,0,0,0.0,20.6
31,0,5,2.5,1,0,1,0.0,21.6
32,0,5,2.5,0,0,0,0.0,22.6
33,0,5,2.5,1,0,1,0.0,23.6
34,0,5,2.5,0,0,0,0.0,24.6
35,0,5,2.5,1,0,0,0.0,25.6
36,0,5,2.5,0,0,1,0.0,26.6
37,0,5,2.5,1,0,0,0.0,27.6
38,0,5,2.5,0,0,1,0.0,28.6
39,0,5,2.5,1,0,0,0.0,29.6
40,0,5,2.5,0,0,1,0.0,30.6
41,0,5,2.5,1,0,1,0.0,31.6
42,0,5,2.5,0,0,0,0.0,32.6
43,0,5,2.5,1,0,1,0.0,33.6
44,0,5,2.5,0,0,0,0.0,34.6
45,0,5,2.5,1,0,1,0.0,35.6
46,0,4,2.0,1,0,0,0.0,36.0
47,0,3,1.5,0,0,1,0.0,27.0
48,0,2,1.0,1,0,0,0.0,18.25
49,0,1,0.5,0,0,1,0.0,12.33
50,1,0,0.5,1,0,0,0.17,0.0
51,2,0,1.0,0,0,0,0.5,0.0
52,2,0,1.0,0,0,0,0.83,0.0
53,3,0,1.5,0,1,1,1.33,0.0
54,4,0,2.0,1,0,0,1.71,0.0
55,5,0,2.5,0,0,1,2.43,0.0
56,5,0,2.5,0,1,0,3.14,0.0
57,6,1,2.5,0,0,1,4.0,0.33
58,6,1,2.5,0,1,0,4.86,0.5
59,6,1,2.5,0,0,1,5.17,0.75
60,5,2,1.5,0,0,0,4.5,1.25
61,4,3,0.5,0,1,0,3.83,1.6
62,3,3,0.0,0,0,0,3.6,2.2
63,2,4,1.0,0,0,0,2.4,3.0
64,1,4,1.5,0,0,0,1.2,3.8
